Partido,Oponente,Resultado,Goles a favor,Goles en contra,Definicion penales,penales a favor,penales en contra
20/05/2023,Orlando City,D,1,3,0,0,0
27/05/2023,CF Montreal,D,0,1,0,0,0
31/05/2013,NY Red Bulls,D,0,1,0,0,0
3/6/2023,DC United,D,1,2,0,0,0
10/06/2023,New England,D,1,3,0,0,0
24/06/2023,Philadelphia,D,1,4,0,0,0
01/07/2023,Austin,E,1,1,0,0,0
04/07/2023,Columbus Crew,E,2,2,0,0,0
08/07/2023,DC United,E,2,2,0,0,0
15/07/2023,St. Louis,D,0,3,0,0,0
